timestamp,server_id,cpu_usage_pct,ram_usage_pct,cpu_temperature_celsius,disk_io_rate,network_latency_ms,system_status
2026-05-09 16:40:22,SRV-RENAULT-USINE,28.91,48.65,53.5,27.66,7.8,0
2026-05-09 16:40:22,SRV-RENAULT-LOGISTIQUE,59.42,53.6,65.2,18.44,6.5,0
2026-05-09 16:40:22,SRV-RENAULT-CAO,29.76,56.44,53.0,35.73,12.9,0
2026-05-09 16:45:22,SRV-RENAULT-USINE,34.5,74.78,52.1,32.19,6.7,0
2026-05-09 16:45:22,SRV-RENAULT-LOGISTIQUE,56.52,66.74,62.2,61.96,2.5,0
2026-05-09 16:45:22,SRV-RENAULT-CAO,32.18,72.75,51.2,14.24,5.1,0
2026-05-09 16:50:22,SRV-RENAULT-USINE,51.36,59.1,59.9,41.05,2.7,0
2026-05-09 16:50:22,SRV-RENAULT-LOGISTIQUE,39.14,50.54,55.1,53.52,6.1,0
2026-05-09 16:50:22,SRV-RENAULT-CAO,50.35,75.02,61.1,23.49,13.2,0
2026-05-09 16:55:22,SRV-RENAULT-USINE,53.78,44.86,62.5,55.39,9.8,0
2026-05-09 16:55:22,SRV-RENAULT-LOGISTIQUE,49.73,59.76,58.7,35.83,4.2,0
2026-05-09 16:55:22,SRV-RENAULT-CAO,51.22,40.58,61.6,21.24,8.9,0
2026-05-09 17:00:22,SRV-RENAULT-USINE,64.88,76.37,65.5,49.41,3.7,0
2026-05-09 17:00:22,SRV-RENAULT-LOGISTIQUE,38.34,69.03,53.5,15.58,4.7,0
2026-05-09 17:00:22,SRV-RENAULT-CAO,62.79,49.38,63.6,25.39,13.8,0
2026-05-09 17:05:22,SRV-RENAULT-USINE,51.68,49.8,60.0,16.39,14.2,0
2026-05-09 17:05:22,SRV-RENAULT-LOGISTIQUE,27.19,46.34,52.7,51.52,3.9,0
2026-05-09 17:05:22,SRV-RENAULT-CAO,35.53,76.5,52.4,25.5,11.0,0
2026-05-09 17:10:22,SRV-RENAULT-USINE,26.98,60.72,52.2,53.56,9.5,0
2026-05-09 17:10:22,SRV-RENAULT-LOGISTIQUE,61.18,55.54,65.5,56.78,13.2,0
2026-05-09 17:10:22,SRV-RENAULT-CAO,38.34,70.87,56.6,29.23,2.5,0
2026-05-09 17:15:22,SRV-RENAULT-USINE,29.99,70.47,53.9,51.72,2.1,0
2026-05-09 17:15:22,SRV-RENAULT-LOGISTIQUE,60.06,64.1,63.3,54.68,4.6,0
2026-05-09 17:15:22,SRV-RENAULT-CAO,55.42,53.46,63.2,53.84,12.0,0
2026-05-09 17:20:22,SRV-RENAULT-USINE,46.74,51.96,57.3,54.97,14.4,0
2026-05-09 17:20:22,SRV-RENAULT-LOGISTIQUE,60.66,75.49,64.7,22.22,5.8,0
2026-05-09 17:20:22,SRV-RENAULT-CAO,44.38,43.87,57.9,24.46,6.5,0
2026-05-09 17:25:22,SRV-RENAULT-USINE,40.46,58.91,54.8,63.76,5.5,0
2026-05-09 17:25:22,SRV-RENAULT-LOGISTIQUE,46.31,58.54,59.7,20.54,10.9,0
2026-05-09 17:25:22,SRV-RENAULT-CAO,38.28,64.85,56.5,54.31,8.6,0
2026-05-09 17:30:22,SRV-RENAULT-USINE,63.62,40.5,64.6,29.36,2.8,0
2026-05-09 17:30:22,SRV-RENAULT-LOGISTIQUE,57.35,40.08,61.5,27.45,4.1,0
2026-05-09 17:30:22,SRV-RENAULT-CAO,47.11,63.2,58.4,38.01,7.7,0
2026-05-09 17:35:22,SRV-RENAULT-USINE,46.09,42.99,59.0,16.52,12.1,0
2026-05-09 17:35:22,SRV-RENAULT-LOGISTIQUE,29.19,56.25,49.9,28.97,11.4,0
2026-05-09 17:35:22,SRV-RENAULT-CAO,37.83,43.1,54.5,14.69,11.5,0
2026-05-09 17:40:22,SRV-RENAULT-USINE,30.74,65.63,52.8,20.03,4.9,0
2026-05-09 17:40:22,SRV-RENAULT-LOGISTIQUE,52.59,57.49,62.8,53.5,10.5,0
2026-05-09 17:40:22,SRV-RENAULT-CAO,38.39,46.44,55.4,41.14,14.0,0
2026-05-09 17:45:22,SRV-RENAULT-USINE,47.38,75.53,59.9,60.68,8.7,0
2026-05-09 17:45:22,SRV-RENAULT-LOGISTIQUE,59.84,69.52,64.0,44.29,12.1,0
2026-05-09 17:45:22,SRV-RENAULT-CAO,58.43,44.58,65.2,39.42,12.4,0
2026-05-09 17:50:22,SRV-RENAULT-USINE,36.48,44.0,55.8,28.72,12.0,0
2026-05-09 17:50:22,SRV-RENAULT-LOGISTIQUE,34.36,77.4,55.6,25.22,9.9,0
2026-05-09 17:50:22,SRV-RENAULT-CAO,33.38,44.72,53.0,50.85,12.9,0
2026-05-09 17:55:22,SRV-RENAULT-USINE,64.89,40.79,67.6,41.97,2.1,0
2026-05-09 17:55:22,SRV-RENAULT-LOGISTIQUE,27.99,58.34,52.0,24.41,3.8,0
2026-05-09 17:55:22,SRV-RENAULT-CAO,55.22,44.91,63.7,32.24,10.9,0
2026-05-09 18:00:22,SRV-RENAULT-USINE,46.86,59.65,57.3,20.93,3.1,0
2026-05-09 18:00:22,SRV-RENAULT-LOGISTIQUE,43.6,64.34,57.1,36.29,3.0,0
2026-05-09 18:00:22,SRV-RENAULT-CAO,50.98,71.02,59.1,39.08,12.6,0
2026-05-09 18:05:22,SRV-RENAULT-USINE,40.83,55.1,58.0,23.07,10.9,0
2026-05-09 18:05:22,SRV-RENAULT-LOGISTIQUE,31.64,51.88,54.6,14.78,8.3,0
2026-05-09 18:05:22,SRV-RENAULT-CAO,63.6,55.32,66.2,63.06,14.3,0
2026-05-09 18:10:22,SRV-RENAULT-USINE,32.46,52.14,52.0,38.28,5.1,0
2026-05-09 18:10:22,SRV-RENAULT-LOGISTIQUE,48.05,46.08,58.4,21.9,13.5,0
2026-05-09 18:10:22,SRV-RENAULT-CAO,63.45,60.62,66.9,13.32,3.4,0
2026-05-09 18:15:22,SRV-RENAULT-USINE,55.56,66.22,62.6,27.86,14.8,0
2026-05-09 18:15:22,SRV-RENAULT-LOGISTIQUE,40.17,66.59,57.9,61.16,6.1,0
2026-05-09 18:15:22,SRV-RENAULT-CAO,36.63,56.47,55.6,47.78,4.1,0
2026-05-09 18:20:22,SRV-RENAULT-USINE,40.64,57.59,56.5,37.13,10.7,0
2026-05-09 18:20:22,SRV-RENAULT-LOGISTIQUE,32.12,53.73,53.5,20.9,14.3,0
2026-05-09 18:20:22,SRV-RENAULT-CAO,60.94,77.44,65.0,40.79,6.9,0
2026-05-09 18:25:22,SRV-RENAULT-USINE,38.8,76.93,55.9,45.38,4.0,0
2026-05-09 18:25:22,SRV-RENAULT-LOGISTIQUE,39.03,44.62,55.8,23.31,2.5,0
2026-05-09 18:25:22,SRV-RENAULT-CAO,37.32,49.37,55.0,37.31,2.2,0
2026-05-09 18:30:22,SRV-RENAULT-USINE,31.24,45.39,52.3,16.2,9.0,0
2026-05-09 18:30:22,SRV-RENAULT-LOGISTIQUE,58.08,47.29,62.0,57.66,5.9,0
2026-05-09 18:30:22,SRV-RENAULT-CAO,28.29,68.86,51.0,32.93,4.7,0
2026-05-09 18:35:22,SRV-RENAULT-USINE,30.16,70.23,53.0,33.26,13.9,0
2026-05-09 18:35:22,SRV-RENAULT-LOGISTIQUE,57.4,49.68,62.3,33.37,14.6,0
2026-05-09 18:35:22,SRV-RENAULT-CAO,52.86,56.84,60.3,18.83,12.7,0
2026-05-09 18:40:22,SRV-RENAULT-USINE,44.06,42.17,56.0,47.48,14.3,0
2026-05-09 18:40:22,SRV-RENAULT-LOGISTIQUE,53.3,57.25,61.0,37.78,13.1,0
2026-05-09 18:40:22,SRV-RENAULT-CAO,45.04,56.48,56.7,20.48,12.6,0
2026-05-09 18:45:22,SRV-RENAULT-USINE,43.55,57.76,56.1,32.16,2.1,0
2026-05-09 18:45:22,SRV-RENAULT-LOGISTIQUE,26.52,57.35,49.3,29.38,7.7,0
2026-05-09 18:45:22,SRV-RENAULT-CAO,43.6,41.94,56.7,64.12,6.9,0
2026-05-09 18:50:22,SRV-RENAULT-USINE,34.38,46.11,52.9,30.51,14.4,0
2026-05-09 18:50:22,SRV-RENAULT-LOGISTIQUE,46.32,58.34,60.1,40.6,14.2,0
2026-05-09 18:50:22,SRV-RENAULT-CAO,58.65,64.1,63.1,41.5,6.9,0
